Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2012-11-26,2,21200197,1610612764,WAS,Washington,0-12,25,23,22,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.41100000000000003,0.8240000000000001,0.28600000000000003,14,40,10,,0
2012-11-28,1,21200209,1610612764,WAS,Washington,1-12,23,20,25,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84,0.43700000000000006,0.895,0.41700000000000004,18,42,16,,0
2012-11-30,5,21200226,1610612764,WAS,Washington,1-13,17,29,19,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.449,0.5710000000000001,0.278,11,42,17,,0
2012-12-04,2,21200252,1610612764,WAS,Washington,2-13,30,30,22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105,0.48100000000000004,0.759,0.368,31,44,10,,0
2012-12-07,4,21200273,1610612764,WAS,Washington,2-14,19,22,30,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.456,0.8,0.43799999999999994,22,32,11,,0
2012-12-08,2,21200283,1610612764,WAS,Washington,2-15,21,26,23,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.425,0.609,0.36,23,37,8,,0
2012-12-11,4,21200307,1610612764,WAS,Washington,3-15,11,25,20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77,0.32899999999999996,0.7829999999999999,0.263,14,49,14,,0
2012-12-12,9,21200317,1610612764,WAS,Washington,3-16,17,25,22,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,93,0.39299999999999996,0.8,0.28,18,46,13,,0
2012-12-14,2,21200326,1610612764,WAS,Washington,3-17,25,30,14,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96,0.434,0.8,0.381,19,48,19,,0
2012-12-15,4,21200339,1610612764,WAS,Washington,3-18,14,22,10,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.375,0.733,0.35,16,40,21,,0
2012-12-18,1,21200356,1610612764,WAS,Washington,3-19,22,24,23,21,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.379,0.773,0.33299999999999996,28,49,13,,0
