GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2015-12-01,1,21500262,1610612739,CLE,Cleveland,13-5,24,19,24,18,0,0,0,0,0,0,0,0,0,0,85,0.337,0.87,0.3,15,47,18,1610612739.0,1
2015-12-04,6,21500288,1610612739,CLE,Cleveland,13-6,27,26,24,28,3,0,0,0,0,0,0,0,0,0,108,0.43799999999999994,0.833,0.303,18,43,14,1610612739.0,1
2015-12-05,3,21500291,1610612739,CLE,Cleveland,13-7,22,20,22,20,0,0,0,0,0,0,0,0,0,0,84,0.365,0.667,0.214,14,36,14,1610612739.0,1
2015-12-08,1,21500313,1610612739,CLE,Cleveland,14-7,17,30,30,28,0,0,0,0,0,0,0,0,0,0,105,0.506,0.8,0.429,18,30,8,1610612739.0,1
2015-12-11,2,21500334,1610612739,CLE,Cleveland,15-7,22,31,30,28,0,0,0,0,0,0,0,0,0,0,111,0.569,0.667,0.524,28,45,18,1610612739.0,1
2015-12-15,1,21500367,1610612739,CLE,Cleveland,16-7,23,17,29,20,0,0,0,0,0,0,0,0,0,0,89,0.462,0.9,0.348,17,46,14,1610612739.0,1
2015-12-17,2,21500384,1610612739,CLE,Cleveland,17-7,26,20,28,30,0,0,0,0,0,0,0,0,0,0,104,0.466,0.769,0.414,29,42,16,1610612739.0,1
2015-12-20,3,21500405,1610612739,CLE,Cleveland,18-7,21,34,33,20,0,0,0,0,0,0,0,0,0,0,108,0.47100000000000003,0.81,0.44,25,40,10,1610612739.0,1
2015-12-23,2,21500424,1610612739,CLE,Cleveland,19-7,31,24,17,19,0,0,0,0,0,0,0,0,0,0,91,0.386,0.88,0.22699999999999998,23,48,7,1610612739.0,1
2015-12-25,3,21500438,1610612739,CLE,Cleveland,19-8,19,23,17,24,0,0,0,0,0,0,0,0,0,0,83,0.316,0.72,0.16699999999999998,12,55,11,1610612739.0,1
2015-12-26,13,21500453,1610612739,CLE,Cleveland,19-9,12,22,25,17,0,0,0,0,0,0,0,0,0,0,76,0.364,0.6,0.355,21,42,17,1610612739.0,1
2015-12-28,9,21500466,1610612739,CLE,Cleveland,20-9,34,26,21,20,0,0,0,0,0,0,0,0,0,0,101,0.465,0.72,0.415,21,37,17,1610612739.0,1
2015-12-29,5,21500473,1610612739,CLE,Cleveland,21-9,26,27,19,21,0,0,0,0,0,0,0,0,0,0,93,0.442,0.591,0.182,17,44,12,1610612739.0,1
2016-01-02,5,21500499,1610612739,CLE,Cleveland,22-9,29,26,26,23,0,0,0,0,0,0,0,0,0,0,104,0.415,0.615,0.324,24,53,4,1610612739.0,1
