Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2014-02-08,7,21300755,1610612748,MIA,Miami,35-14,20,30,16,23,0,0,0,0,0,0,0,0,0,0,89,0.433,0.8,0.304,19,32,10,1610612748.0,1
2014-02-11,5,21300774,1610612748,MIA,Miami,36-14,22,21,28,32,0,0,0,0,0,0,0,0,0,0,103,0.474,0.733,0.33299999999999996,14,41,12,1610612748.0,1
2014-02-12,12,21300788,1610612748,MIA,Miami,37-14,28,29,27,27,0,0,0,0,0,0,0,0,0,0,111,0.5379999999999999,0.68,0.455,25,35,12,1610612748.0,1
2014-02-18,7,21300798,1610612748,MIA,Miami,38-14,30,30,24,33,0,0,0,0,0,0,0,0,0,0,117,0.5710000000000001,0.792,0.385,29,28,12,1610612748.0,1
2014-02-20,2,21300813,1610612748,MIA,Miami,39-14,34,20,22,27,0,0,0,0,0,0,0,0,0,0,103,0.547,0.762,0.23800000000000002,24,41,18,1610612748.0,1
2014-02-23,2,21300834,1610612748,MIA,Miami,40-14,20,20,25,28,0,0,0,0,0,0,0,0,0,0,93,0.42,0.7140000000000001,0.391,22,41,7,1610612748.0,1
2014-02-27,3,21300865,1610612748,MIA,Miami,41-14,28,27,32,21,0,0,0,0,0,0,0,0,0,0,108,0.608,0.667,0.4,18,39,12,1610612748.0,1
2014-03-01,1,21300874,1610612748,MIA,Miami,42-14,32,29,28,23,0,0,0,0,0,0,0,0,0,0,112,0.581,0.833,0.375,20,39,17,1610612748.0,1
2014-03-03,4,21300893,1610612748,MIA,Miami,43-14,29,31,38,26,0,0,0,0,0,0,0,0,0,0,124,0.5539999999999999,0.8,0.5710000000000001,18,36,7,1610612748.0,1
2014-03-04,3,21300900,1610612748,MIA,Miami,43-15,32,20,21,30,0,0,0,0,0,0,0,0,0,0,103,0.475,0.69,0.259,19,33,8,1610612748.0,1
2014-03-06,1,21300914,1610612748,MIA,Miami,43-16,22,29,23,13,0,0,0,0,0,0,0,0,0,0,87,0.43,0.833,0.308,25,36,20,1610612748.0,1
2014-03-09,1,21300934,1610612748,MIA,Miami,43-17,19,24,24,19,2,0,0,0,0,0,0,0,0,0,88,0.405,0.955,0.35,20,42,17,1610612748.0,1
2014-03-10,3,21300945,1610612748,MIA,Miami,44-17,31,22,20,26,0,0,0,0,0,0,0,0,0,0,99,0.5,1.0,0.47600000000000003,26,33,10,1610612748.0,1
2014-03-12,1,21300957,1610612748,MIA,Miami,44-18,22,20,29,24,0,0,0,0,0,0,0,0,0,0,95,0.485,0.769,0.33299999999999996,18,33,17,1610612748.0,1
